official_id,subject_id,consent,attention_check,catch_trial,trial_name,samples_requested,strategy,feedback
P1,00fd6cfv1p,Agree,72White,correct,70_30,20,Identify the balls with fewer counts and add more counts.,NA
P1,00fd6cfv1p,Agree,72White,correct,65_35,10,,
P1,00fd6cfv1p,Agree,72White,correct,95_5,10,,
P1,00fd6cfv1p,Agree,72White,correct,90_10,15,,
P1,00fd6cfv1p,Agree,72White,correct,55_45,50,,
P1,00fd6cfv1p,Agree,72White,correct,80_20,30,,
P1,00fd6cfv1p,Agree,72White,correct,51_49,55,,
P1,00fd6cfv1p,Agree,72White,correct,75_25,30,,
P1,00fd6cfv1p,Agree,72White,correct,85_15,30,,
P1,00fd6cfv1p,Agree,72White,correct,60_40,50,,
P2,4hjbcmlv49,Agree,72Black,correct,65_35,25,Least in each,Please send the answers
P2,4hjbcmlv49,Agree,72Black,correct,90_10,10,,
P2,4hjbcmlv49,Agree,72Black,correct,51_49,50,,
P2,4hjbcmlv49,Agree,72Black,correct,60_40,40,,
P2,4hjbcmlv49,Agree,72Black,correct,80_20,17,,
P2,4hjbcmlv49,Agree,72Black,correct,55_45,45,,
P2,4hjbcmlv49,Agree,72Black,correct,95_5,5,,
P2,4hjbcmlv49,Agree,72Black,correct,70_30,60,,
P2,4hjbcmlv49,Agree,72Black,correct,85_15,15,,
P2,4hjbcmlv49,Agree,72Black,correct,75_25,32,,
P4,5qqtv6amzt,Agree,72White,correct,95_5,5,"I would sometimes count the number of balls that are in the minority and try to find sort of like a rough percentage. Other times, it would be more of what I would need to see for me to make an estimate.","The white background almost feels like it makes it hard to see the white balls for the lower cube. Though that could just be me, XD. I didn't see any real issues."
P4,5qqtv6amzt,Agree,72White,correct,51_49,15,,
P4,5qqtv6amzt,Agree,72White,correct,80_20,8,,
P4,5qqtv6amzt,Agree,72White,correct,55_45,12,,
P4,5qqtv6amzt,Agree,72White,correct,70_30,10,,
P4,5qqtv6amzt,Agree,72White,correct,65_35,10,,
P4,5qqtv6amzt,Agree,72White,correct,90_10,5,,
P4,5qqtv6amzt,Agree,72White,correct,75_25,8,,
P4,5qqtv6amzt,Agree,72White,correct,60_40,10,,
P4,5qqtv6amzt,Agree,72White,correct,85_15,6,,
P5,07qc8vfl1e,Agree,72White,correct,85_15,10,I tried to estimate the ratio of balls and decide how many I would need to draw to see a meaningful enough representation of the ratio to make an educated guess,thanks - engaging and interesting
P5,07qc8vfl1e,Agree,72White,correct,80_20,10,,
P5,07qc8vfl1e,Agree,72White,correct,60_40,15,,
P5,07qc8vfl1e,Agree,72White,correct,75_25,10,,
P5,07qc8vfl1e,Agree,72White,correct,55_45,50,,
P5,07qc8vfl1e,Agree,72White,correct,65_35,15,,
P5,07qc8vfl1e,Agree,72White,correct,70_30,15,,
P5,07qc8vfl1e,Agree,72White,correct,90_10,10,,
P5,07qc8vfl1e,Agree,72White,correct,95_5,5,,
P5,07qc8vfl1e,Agree,72White,correct,51_49,75,,
P6,7sxhkt3c2c,Agree,72Black,correct,80_20,8,I mainly just focused on the bottom three rows to see how the colours played out and tried to base an estimate from there. If it one colour was dominant within those first three rows I would usually just favour taking 3-5 balls before being confident of knowing the box.,"Nothing further at this time, but best of luck with the rest of the study."
P6,7sxhkt3c2c,Agree,72Black,correct,70_30,6,,
P6,7sxhkt3c2c,Agree,72Black,correct,90_10,4,,
P6,7sxhkt3c2c,Agree,72Black,correct,65_35,7,,
P6,7sxhkt3c2c,Agree,72Black,correct,55_45,10,,
P6,7sxhkt3c2c,Agree,72Black,correct,95_5,3,,
P6,7sxhkt3c2c,Agree,72Black,correct,75_25,5,,
P6,7sxhkt3c2c,Agree,72Black,correct,85_15,3,,
P6,7sxhkt3c2c,Agree,72Black,correct,51_49,15,,
P6,7sxhkt3c2c,Agree,72Black,correct,60_40,12,,
P7,8ftom216mb,Agree,72White,correct,65_35,16,reason,-
P7,8ftom216mb,Agree,72White,correct,70_30,15,,
P7,8ftom216mb,Agree,72White,correct,51_49,40,,
P7,8ftom216mb,Agree,72White,correct,90_10,5,,
P7,8ftom216mb,Agree,72White,correct,95_5,3,,
P7,8ftom216mb,Agree,72White,correct,55_45,25,,
P7,8ftom216mb,Agree,72White,correct,80_20,7,,
P7,8ftom216mb,Agree,72White,correct,75_25,8,,
P7,8ftom216mb,Agree,72White,correct,85_15,6,,
P7,8ftom216mb,Agree,72White,correct,60_40,25,,
P8,9l09j3cp43,Agree,72White,correct,95_5,6,My decisions were based on how prominent the colors of balls were in each box.,"This was fun, thanks."
P8,9l09j3cp43,Agree,72White,correct,65_35,12,,
P8,9l09j3cp43,Agree,72White,correct,55_45,15,,
P8,9l09j3cp43,Agree,72White,correct,75_25,15,,
P8,9l09j3cp43,Agree,72White,correct,90_10,6,,
P8,9l09j3cp43,Agree,72White,correct,51_49,20,,
P8,9l09j3cp43,Agree,72White,correct,85_15,6,,
P8,9l09j3cp43,Agree,72White,correct,80_20,6,,
P8,9l09j3cp43,Agree,72White,correct,70_30,12,,
P8,9l09j3cp43,Agree,72White,correct,60_40,15,,
P9,25srd5qhmt,Agree,72White,correct,51_49,7,"When the composition of the two boxes was more similar, I needed more balls to be sure.",None
P9,25srd5qhmt,Agree,72White,correct,65_35,12,,
P9,25srd5qhmt,Agree,72White,correct,70_30,5,,
P9,25srd5qhmt,Agree,72White,correct,90_10,3,,
P9,25srd5qhmt,Agree,72White,correct,55_45,12,,
P9,25srd5qhmt,Agree,72White,correct,60_40,10,,
P9,25srd5qhmt,Agree,72White,correct,95_5,3,,
P9,25srd5qhmt,Agree,72White,correct,85_15,4,,
P9,25srd5qhmt,Agree,72White,correct,75_25,5,,
P9,25srd5qhmt,Agree,72White,correct,80_20,5,,
P10,26a0rplnnj,Agree,72Black,correct,65_35,4,I looked at which box had less balls and how I could visualize the change.,all was good
P10,26a0rplnnj,Agree,72Black,correct,90_10,1,,
P10,26a0rplnnj,Agree,72Black,correct,55_45,3,,
P10,26a0rplnnj,Agree,72Black,correct,80_20,2,,
P10,26a0rplnnj,Agree,72Black,correct,75_25,2,,
P10,26a0rplnnj,Agree,72Black,correct,95_5,1,,
P10,26a0rplnnj,Agree,72Black,correct,51_49,4,,
P10,26a0rplnnj,Agree,72Black,correct,70_30,3,,
P10,26a0rplnnj,Agree,72Black,correct,85_15,2,,
P10,26a0rplnnj,Agree,72Black,correct,60_40,2,,
P11,62ntqzqh76,Agree,72White,correct,90_10,10,"If there were an even amount it felt eaasier to pick, but where there was fewer of a certain colour it was harder, so I felt I would need more balls to know which box it came from.",I've never done a study like that so it was fun
P11,62ntqzqh76,Agree,72White,correct,51_49,20,,
P11,62ntqzqh76,Agree,72White,correct,75_25,15,,
P11,62ntqzqh76,Agree,72White,correct,55_45,20,,
P11,62ntqzqh76,Agree,72White,correct,65_35,20,,
P11,62ntqzqh76,Agree,72White,correct,70_30,10,,
P11,62ntqzqh76,Agree,72White,correct,85_15,15,,
P11,62ntqzqh76,Agree,72White,correct,95_5,50,,
P11,62ntqzqh76,Agree,72White,correct,60_40,15,,
P11,62ntqzqh76,Agree,72White,correct,80_20,25,,
P12,96uo0ro08c,Agree,72White,correct,70_30,6,The closer the ratio of the colored balls reaches 50/50 the more balls would be needed.,None.
P12,96uo0ro08c,Agree,72White,correct,90_10,4,,
P12,96uo0ro08c,Agree,72White,correct,55_45,9,,
P12,96uo0ro08c,Agree,72White,correct,85_15,4,,
P12,96uo0ro08c,Agree,72White,correct,75_25,5,,
P12,96uo0ro08c,Agree,72White,correct,95_5,4,,
P12,96uo0ro08c,Agree,72White,correct,60_40,7,,
P12,96uo0ro08c,Agree,72White,correct,80_20,5,,
P12,96uo0ro08c,Agree,72White,correct,65_35,7,,
P12,96uo0ro08c,Agree,72White,correct,51_49,8,,
P13,3488fdo8s0,Agree,72Black,correct,85_15,0,I don't understand what you're asking me.,no
P13,3488fdo8s0,Agree,72Black,correct,60_40,0,,
P13,3488fdo8s0,Agree,72Black,correct,95_5,0,,
P13,3488fdo8s0,Agree,72Black,correct,75_25,0,,
P13,3488fdo8s0,Agree,72Black,correct,55_45,0,,
P13,3488fdo8s0,Agree,72Black,correct,65_35,0,,
P13,3488fdo8s0,Agree,72Black,correct,80_20,0,,
P13,3488fdo8s0,Agree,72Black,correct,70_30,0,,
P13,3488fdo8s0,Agree,72Black,correct,90_10,0,,
P13,3488fdo8s0,Agree,72Black,correct,51_49,0,,
P14,4573a559c1,Agree,72Black,correct,60_40,20,I used the number that I thought would represent the boxes well in terms of probability of colours being selected.,"None, thank you."
P14,4573a559c1,Agree,72Black,correct,75_25,15,,
P14,4573a559c1,Agree,72Black,correct,55_45,30,,
P14,4573a559c1,Agree,72Black,correct,51_49,40,,
P14,4573a559c1,Agree,72Black,correct,95_5,10,,
P14,4573a559c1,Agree,72Black,correct,80_20,10,,
P14,4573a559c1,Agree,72Black,correct,70_30,20,,
P14,4573a559c1,Agree,72Black,correct,90_10,10,,
P14,4573a559c1,Agree,72Black,correct,85_15,10,,
P14,4573a559c1,Agree,72Black,correct,65_35,15,,
P15,a7qhw689zp,Agree,72White,correct,85_15,20,tried to see how many would need to judge if more of one than the other,n/a
P15,a7qhw689zp,Agree,72White,correct,95_5,10,,
P15,a7qhw689zp,Agree,72White,correct,80_20,12,,
P15,a7qhw689zp,Agree,72White,correct,90_10,10,,
P15,a7qhw689zp,Agree,72White,correct,70_30,20,,
P15,a7qhw689zp,Agree,72White,correct,60_40,20,,
P15,a7qhw689zp,Agree,72White,correct,51_49,25,,
P15,a7qhw689zp,Agree,72White,correct,55_45,30,,
P15,a7qhw689zp,Agree,72White,correct,65_35,30,,
P15,a7qhw689zp,Agree,72White,correct,75_25,25,,
P16,d6xvzw2sb7,Agree,72Black,correct,70_30,10,"Depending on how different they were in terms of number of colours vs. white, it would be quicker to tell.",N/A
P16,d6xvzw2sb7,Agree,72Black,correct,65_35,10,,
P16,d6xvzw2sb7,Agree,72Black,correct,85_15,5,,
P16,d6xvzw2sb7,Agree,72Black,correct,95_5,3,,
P16,d6xvzw2sb7,Agree,72Black,correct,55_45,10,,
P16,d6xvzw2sb7,Agree,72Black,correct,90_10,5,,
P16,d6xvzw2sb7,Agree,72Black,correct,51_49,15,,
P16,d6xvzw2sb7,Agree,72Black,correct,75_25,10,,
P16,d6xvzw2sb7,Agree,72Black,correct,80_20,5,,
P16,d6xvzw2sb7,Agree,72Black,correct,60_40,15,,
P17,e0t2ow2p4n,Agree,72Black,correct,51_49,15,"my strategy was to check the ratio of balls and depending on how close to 50/50 they were, the number of balls to take out went up","This was interesting, I would like to know the real way to solve this problem."
P17,e0t2ow2p4n,Agree,72Black,correct,75_25,12,,
P17,e0t2ow2p4n,Agree,72Black,correct,90_10,10,,
P17,e0t2ow2p4n,Agree,72Black,correct,80_20,13,,
P17,e0t2ow2p4n,Agree,72Black,correct,65_35,23,,
P17,e0t2ow2p4n,Agree,72Black,correct,95_5,3,,
P17,e0t2ow2p4n,Agree,72Black,correct,70_30,40,,
P17,e0t2ow2p4n,Agree,72Black,correct,60_40,25,,
P17,e0t2ow2p4n,Agree,72Black,correct,55_45,30,,
P17,e0t2ow2p4n,Agree,72Black,correct,85_15,10,,
P18,e12xtl9mj7,Agree,72White,correct,95_5,20,the more similar the boxes the lower I guessed,everything was fine
P18,e12xtl9mj7,Agree,72White,correct,85_15,25,,
P18,e12xtl9mj7,Agree,72White,correct,60_40,60,,
P18,e12xtl9mj7,Agree,72White,correct,90_10,20,,
P18,e12xtl9mj7,Agree,72White,correct,55_45,100,,
P18,e12xtl9mj7,Agree,72White,correct,80_20,40,,
P18,e12xtl9mj7,Agree,72White,correct,65_35,60,,
P18,e12xtl9mj7,Agree,72White,correct,75_25,70,,
P18,e12xtl9mj7,Agree,72White,correct,51_49,100,,
P18,e12xtl9mj7,Agree,72White,correct,70_30,60,,
P19,f4s8lowjeh,Agree,72White,correct,80_20,10,I evaluated both boxes to see how many of each color were in both and then figured which ones needed more balls taken out to guess correct.,None
P19,f4s8lowjeh,Agree,72White,correct,95_5,8,,
P19,f4s8lowjeh,Agree,72White,correct,55_45,20,,
P19,f4s8lowjeh,Agree,72White,correct,51_49,20,,
P19,f4s8lowjeh,Agree,72White,correct,65_35,12,,
P19,f4s8lowjeh,Agree,72White,correct,75_25,8,,
P19,f4s8lowjeh,Agree,72White,correct,60_40,10,,
P19,f4s8lowjeh,Agree,72White,correct,85_15,6,,
P19,f4s8lowjeh,Agree,72White,correct,70_30,8,,
P19,f4s8lowjeh,Agree,72White,correct,90_10,5,,
P20,frfekqe6xw,Agree,72Black,correct,51_49,50,I guessed!,Thank you
P20,frfekqe6xw,Agree,72Black,correct,80_20,45,,
P20,frfekqe6xw,Agree,72Black,correct,65_35,55,,
P20,frfekqe6xw,Agree,72Black,correct,70_30,60,,
P20,frfekqe6xw,Agree,72Black,correct,55_45,25,,
P20,frfekqe6xw,Agree,72Black,correct,95_5,10,,
P20,frfekqe6xw,Agree,72Black,correct,85_15,40,,
P20,frfekqe6xw,Agree,72Black,correct,75_25,25,,
P20,frfekqe6xw,Agree,72Black,correct,60_40,10,,
P20,frfekqe6xw,Agree,72Black,correct,90_10,6,,
P21,fy0cu6uv34,Agree,72Black,correct,55_45,15,Going by the opposite less prominent color,None
P21,fy0cu6uv34,Agree,72Black,correct,70_30,5,,
P21,fy0cu6uv34,Agree,72Black,correct,65_35,5,,
P21,fy0cu6uv34,Agree,72Black,correct,75_25,5,,
P21,fy0cu6uv34,Agree,72Black,correct,90_10,3,,
P21,fy0cu6uv34,Agree,72Black,correct,80_20,5,,
P21,fy0cu6uv34,Agree,72Black,correct,60_40,10,,
P21,fy0cu6uv34,Agree,72Black,correct,85_15,5,,
P21,fy0cu6uv34,Agree,72Black,correct,51_49,20,,
P21,fy0cu6uv34,Agree,72Black,correct,95_5,2,,
P22,hbz520kdgo,Agree,72White,correct,65_35,12,The more different the colors are in the boxes the less balls needed to be put in the bowl. The more similar the colors in the boxes the more balls needed to be put in the bowl.,Thanks for the study.
P22,hbz520kdgo,Agree,72White,correct,80_20,10,,
P22,hbz520kdgo,Agree,72White,correct,95_5,6,,
P22,hbz520kdgo,Agree,72White,correct,70_30,10,,
P22,hbz520kdgo,Agree,72White,correct,55_45,20,,
P22,hbz520kdgo,Agree,72White,correct,90_10,7,,
P22,hbz520kdgo,Agree,72White,correct,51_49,20,,
P22,hbz520kdgo,Agree,72White,correct,75_25,8,,
P22,hbz520kdgo,Agree,72White,correct,85_15,6,,
P22,hbz520kdgo,Agree,72White,correct,60_40,12,,
P23,hzhw6e3hda,Agree,72White,correct,75_25,35,probability but i think some of my calculations are wrong,N/A
P23,hzhw6e3hda,Agree,72White,correct,55_45,36,,
P23,hzhw6e3hda,Agree,72White,correct,80_20,16,,
P23,hzhw6e3hda,Agree,72White,correct,95_5,4,,
P23,hzhw6e3hda,Agree,72White,correct,90_10,5,,
P23,hzhw6e3hda,Agree,72White,correct,65_35,8,,
P23,hzhw6e3hda,Agree,72White,correct,85_15,4,,
P23,hzhw6e3hda,Agree,72White,correct,60_40,5,,
P23,hzhw6e3hda,Agree,72White,correct,51_49,6,,
P23,hzhw6e3hda,Agree,72White,correct,70_30,8,,
P24,lusuw94a81,Agree,72Black,correct,55_45,30,A number equal to the number of balls in the box with the fewest balls,N/A
P24,lusuw94a81,Agree,72Black,correct,80_20,16,,
P24,lusuw94a81,Agree,72Black,correct,70_30,22,,
P24,lusuw94a81,Agree,72Black,correct,65_35,26,,
P24,lusuw94a81,Agree,72Black,correct,51_49,28,,
P24,lusuw94a81,Agree,72Black,correct,75_25,26,,
P24,lusuw94a81,Agree,72Black,correct,95_5,1,,
P24,lusuw94a81,Agree,72Black,correct,90_10,10,,
P24,lusuw94a81,Agree,72Black,correct,85_15,13,,
P24,lusuw94a81,Agree,72Black,correct,60_40,23,,
P25,o9ahembubr,Agree,72White,correct,70_30,30,I imagined how many scoopfuls of balls would be needed to tell if the majority came from a box with a majority of a certain color,N/A
P25,o9ahembubr,Agree,72White,correct,60_40,50,,
P25,o9ahembubr,Agree,72White,correct,51_49,100,,
P25,o9ahembubr,Agree,72White,correct,85_15,15,,
P25,o9ahembubr,Agree,72White,correct,90_10,15,,
P25,o9ahembubr,Agree,72White,correct,80_20,15,,
P25,o9ahembubr,Agree,72White,correct,55_45,100,,
P25,o9ahembubr,Agree,72White,correct,95_5,5,,
P25,o9ahembubr,Agree,72White,correct,75_25,20,,
P25,o9ahembubr,Agree,72White,correct,65_35,30,,
P26,r87e7pur76,Agree,72White,correct,51_49,30,MY DECISION DEPEND ON THE DIFFERENT COLOUR OF BALLS IN EACH BOX,NONE
P26,r87e7pur76,Agree,72White,correct,65_35,17,,
P26,r87e7pur76,Agree,72White,correct,85_15,8,,
